id,date,calories,steps,distance,sedentary_minutes,lightly_active_minutes,fairly_active_minutes,very_active_minutes
1,2015-05-08,1934,905,0.65,1355,46,0,0
1,2015-05-09,3631,18925,14.11,611,316,61,60
1,2015-05-10,3204,14228,10.57,602,226,14,77
1,2015-05-11,2673,6756,5.02,749,190,23,4
1,2015-05-12,2495,5020,3.73,876,171,0,0
1,2015-05-13,2760,7790,5.79,726,172,34,18
1,2015-05-14,2687,5614,4.17,782,216,13,1
1,2015-05-15,2793,8169.000000000001,6.07,801,218,8,7
1,2015-05-16,4061,19971,14.84,532,247,101,118
1,2015-05-17,3349,8520,6.33,606,186,46,73
1,2015-05-18,2961,11998,8.91,936,189,18,51
1,2015-05-19,2911,12425,9.23,827,186,18,54
1,2015-05-20,2569,6008,4.46,783,214,15,2
1,2015-05-21,3228,16291,12.1,616,237,48,52
1,2015-05-22,2529,6111,4.54,820,190,14,5
1,2015-05-23,4197,17928,13.32,533,262,79,132
1,2015-05-24,3899,13893,10.32,641,222,33,140
1,2015-05-25,2519,5109,3.8,861,200,0,0
1,2015-05-26,2357,4430,3.29,1269,156,0,0
1,2015-05-27,3209,7498,5.57,692,196,64,50
1,2015-05-28,2811,8490,6.31,771,212,8,13
1,2015-05-29,2558,5650,4.2,789,208,0,0
1,2015-05-30,4170,21479,15.98,503,230,55,153
1,2015-05-31,3533,18995,14.11,660,269,86,43
1,2015-06-01,3354,16836,12.51,586,248,35,70
1,2015-06-02,3369,15944,11.85,640,214,15,93
1,2015-06-03,3168,14273,10.6,721,178,16,89
1,2015-06-04,3470,16059.999999999998,11.93,724,239,38,70
1,2015-06-05,3134,13594,10.1,677,215,36,52
1,2015-06-06,3436,15480,11.5,520,246,78,42
1,2015-06-07,3634,19440,14.48,966,210,28,130
1,2015-06-08,3267,13926,10.35,701,265,63,29
1,2015-06-09,3072,11338,8.42,806,228,43,31
1,2015-06-10,2750,7140,5.31,785,220,20,4
1,2015-06-11,3187,15449,11.48,676,205,39,64
1,2015-06-12,3207,11920,8.86,593,352,34,11
1,2015-06-13,4083,26444,19.65,549,429,56,56
1,2015-06-14,2789,12335,9.16,1245,88,10,93
1,2015-06-15,3234,14137,10.5,642,305,8,51
1,2015-06-16,2952,11568,8.66,734,189,17,54
1,2015-06-17,3352,16813,12.52,709,202,2,110
1,2015-06-18,3425,15217,11.31,641,280,44,59
1,2015-06-19,3090,13158,9.78,715,171,30,66
1,2015-06-20,3699,19311,14.35,519,291,55,93
