id,date,steps,calories
2,2017-10-06,5464,181
2,2017-10-07,6041,197
2,2017-10-08,25,0
2,2017-10-09,5461,174
2,2017-10-10,6915,223
2,2017-10-11,4545,149
2,2017-10-12,4340,140
2,2017-10-13,1230,38
2,2017-10-14,61,1
2,2017-10-15,1258,40
2,2017-10-16,3148,101
2,2017-10-17,4687,152
2,2017-10-18,4732,150
2,2017-10-19,3519,113
2,2017-10-20,1580,49
2,2017-10-21,2822,86
2,2017-10-22,181,6
2,2017-10-23,3158,99
2,2017-10-24,4383,143
2,2017-10-25,3881,125
2,2017-10-26,4037,129
2,2017-10-27,202,6
2,2017-10-28,292,9
2,2017-10-29,330,10
2,2017-10-30,2209,72
2,2017-10-31,4550,150
2,2017-11-01,4435,141
2,2017-11-02,4779,156
2,2017-11-03,1831,57
2,2017-11-04,2255,72
2,2017-11-05,539,17
2,2017-11-06,5464,181
2,2017-11-07,6041,197
2,2017-11-08,4068,131
2,2017-11-09,4683,154
2,2017-11-10,4033,137
2,2017-11-11,6314,193
2,2017-11-12,614,19
2,2017-11-13,3149,101
2,2017-11-14,4005,139
2,2017-11-15,4880,164
2,2017-11-16,4136,137
2,2017-11-17,705,22
2,2017-11-18,570,17
2,2017-11-19,269,9
2,2017-11-20,4275,145
2,2017-11-21,5999,192
2,2017-11-22,4421,146
2,2017-11-23,6930,234
2,2017-11-24,5195,167
2,2017-11-25,546,16
2,2017-11-26,493,17
2,2017-11-27,995,32
2,2017-11-28,1163,35
2,2017-11-29,6676,220
2,2017-11-30,3608,116
2,2017-12-01,774,23
2,2017-12-02,1421,44
2,2017-12-03,4064,131
2,2017-12-04,2725,86
2,2017-12-05,5934,194
2,2017-12-06,1867,60
2,2017-12-07,3721,121
2,2017-12-08,2374,76
2,2017-12-09,2909,93
2,2017-12-10,1648,53
2,2017-12-11,799,25
2,2017-12-12,7102,227
2,2017-12-13,3941,125
2,2017-12-14,7422,243
2,2017-12-15,437,14
2,2017-12-16,1231,39
2,2017-12-17,1696,55
2,2017-12-18,4921,158
2,2017-12-19,221,7
2,2017-12-20,6500,213
2,2017-12-21,3575,116
2,2017-12-22,4061,129
2,2017-12-23,651,21
2,2017-12-24,753,28
2,2017-12-25,518,16
2,2017-12-26,5537,180
2,2017-12-27,4108,138
2,2017-12-28,5376,176
2,2017-12-29,3066,99
2,2017-12-30,177,5
2,2017-12-31,36,1
2,2018-01-01,299,10
2,2018-01-02,1447,47
2,2018-01-03,2599,84
2,2018-01-04,702,23
2,2018-01-05,133,4
2,2018-01-06,153,0
2,2018-01-07,500,0
2,2018-01-08,2127,0
2,2018-01-09,2203,0
