id,date,distance,very_active_distance,steps,calories
6,2017-10-26,0,0,0,0
6,2017-11-03,0,0,0,0
6,2018-01-18,0,0,0,0
6,2018-04-20,0,0,0,0
6,2018-06-02,1.445,0.105,2125,46
6,2018-06-03,1.033,0.162,1526,38
6,2018-06-04,0,0,0,0
6,2018-06-06,0.143,0.016,211,5
6,2018-06-07,7.909,0.359,10712,268
6,2018-06-08,7.723,0.261,9876,278
6,2018-06-09,0.711,0.098,1033,24
6,2018-06-10,1.234,0.2,1824,49
6,2018-06-11,8.445,0.288,10691,303
6,2018-06-12,3.769,0.231,4738,139
6,2018-06-13,4.361,0.146,5796,152
6,2018-06-14,2.615,0.155,3439,95
6,2018-06-15,7.511,0.123,9585,269
6,2018-06-16,2.726,0.226,3748,95
6,2018-06-17,0.583,0.012,827,20
6,2018-06-18,2.935,0.374,3745,114
6,2018-06-19,5.221,0.227,6994,189
6,2018-06-20,4.669,0.091,6091,165
6,2018-06-21,4.602,0.256,5862,174
6,2018-06-22,6.504,0.203,8773,213
6,2018-06-23,2.353,0.298,3462,84
6,2018-06-24,1.297,0.114,1911,41
6,2018-06-25,10.982,0.229,13756,400
6,2018-06-26,7.611,0.223,10021,265
6,2018-06-27,4.458,0.172,5686,158
6,2018-06-28,3.295,0.139,4452,113
6,2018-06-29,3.515,0.209,4729,127
6,2018-06-30,0.79,0.083,1167,30
6,2018-07-01,1.309,0.098,1860,44
6,2018-07-02,0.509,0.107,749,23
6,2018-07-03,0.892,0.103,1267,33
6,2018-07-04,3.347,0.134,4410,117
6,2018-07-05,2.037,0.164,2771,78
6,2018-07-06,2.565,0.165,3309,97
6,2018-07-07,3.806,0.203,5036,138
6,2018-07-08,0.564,0.11,833,22
6,2018-07-09,6.68,0.313,8708,239
6,2018-07-10,1.462,0.155,1985,53
6,2018-07-11,3.913,0.251,4884,148
6,2018-07-12,3.756,0.262,5126,130
6,2018-07-13,2.713,0.179,3616,101
6,2018-07-14,2.611,0.175,3426,94
6,2018-07-15,5.264,0.226,7067,180
6,2018-07-16,1.799,0.076,2565,60
6,2018-07-17,2.977,0.067,4142,93
6,2018-07-18,0.796,0.182,1172,32
6,2018-07-19,0.333,0.05,474,13
6,2018-07-20,0.246,0.044,363,12
6,2018-07-21,4.11,0.064,5334,132
6,2018-07-22,1.255,0.041,1780,40
6,2018-07-23,0.405,0.065,599,15
6,2018-07-24,2.924,0.288,4107,98
6,2018-07-25,0.915,0.124,1310,30
6,2018-07-26,0.415,0.094,612,17
6,2018-07-27,1.212,0.164,1791,45
6,2018-07-28,0.684,0.143,1000,28
6,2018-07-29,3.793,0.229,5078,133
6,2018-07-30,0.342,0.034,505,12
6,2018-07-31,0.171,0.036,252,9
6,2018-08-01,1.387,0.095,1877,50
6,2018-08-02,2.658,0.331,3666,95
6,2018-08-03,4.246,0.307,5700,143
6,2018-08-04,1.691,0.124,2299,59
6,2018-08-05,0.381,0.086,563,15
6,2018-08-06,0.386,0.103,570,18
6,2018-08-07,2.671,0.172,3729,88
6,2018-08-08,0.602,0.062,889,21
6,2018-08-09,3.389,0.249,4983,110
6,2018-08-10,1.033,0.107,1475,39
6,2018-08-11,0.183,0.061,270,9
6,2018-08-12,1.855,0.184,2727,60
6,2018-08-13,0.919,0.131,1350,33
6,2018-08-14,0.376,0.072,556,16
6,2018-08-15,4.184,0.147,5457,149
6,2018-08-16,3.74,0.134,4965,130
6,2018-08-17,3.973,0.135,5264,134
6,2018-08-18,2.686,0.174,3586,101
6,2018-08-19,0.256,0.073,378,11
6,2018-08-20,3.927,0.229,5252,138
6,2018-08-21,1.153,0.115,1704,42
6,2018-08-22,3.864,0.224,5317,132
6,2018-08-23,2.287,0.143,3085,78
6,2018-08-24,2.475,0.222,3355,86
6,2018-08-25,0.821,0.096,1214,31
6,2018-08-26,2.638,0.278,3796,94
6,2018-08-27,5.319,0.17,6914,188
6,2018-08-28,2.478,0.14,3392,82
6,2018-08-29,3.249,0.095,4175,111
6,2018-08-30,0.458,0.088,677,17
6,2018-08-31,2.702,0.136,3666,88
6,2018-09-01,1.247,0.096,1728,43
6,2018-09-02,1.042,0.129,1496,37
6,2018-09-03,4.332,0.269,5843,152
6,2018-09-04,3.487,0.088,4585,118
6,2018-09-05,4.507,0.368,5917,165
6,2018-09-06,4.148,0.102,5473,142
6,2018-09-07,3.655,0.113,4657,132
6,2018-09-08,3.725,0.295,5341,117
6,2018-09-09,4.202,0.345,6146,134
6,2018-09-10,4.612,0.136,5860,164
6,2018-09-11,3.021,0.235,4146,104
6,2018-09-12,3.788,0.217,4911,139
6,2018-09-13,4.315,0.192,5855,151
6,2018-09-14,2.733,0.163,3532,92
6,2018-09-15,3.022,0.203,4139,100
6,2018-09-16,3.182,0.273,4346,115
6,2018-09-17,4.714,0.267,6218,168
6,2018-09-18,2.373,0.136,3298,79
6,2018-09-19,4.638,0.374,6207,163
6,2018-09-20,2.851,0.128,3595,103
6,2018-09-21,2.924,0.082,3727,107
6,2018-09-22,3.888,0.292,5388,133
6,2018-09-23,1.403,0.127,2003,50
6,2018-09-24,3.077,0.197,4181,104
6,2018-09-25,7.826,0.546,11324,249
6,2018-09-26,2.456,0.281,3345,97
6,2018-09-27,2.045,0.27,2851,85
6,2018-09-28,1.843,0.183,2631,65
6,2018-09-29,2.87,0.335,4241,90
6,2018-09-30,3.493,0.262,5134,104
6,2018-10-01,3.025,0.175,4163,100
6,2018-10-02,4.793,0.306,6259,173
6,2018-10-03,2.371,0.236,3277,82
6,2018-10-04,1.634,0.123,2309,57
6,2018-10-05,2.15,0.207,2987,77
6,2018-10-06,2.088,0.287,3006,71
6,2018-10-07,0.702,0.125,1038,27
6,2018-10-08,1.792,0.175,2491,64
6,2018-10-09,1.39,0.186,1972,49
6,2018-10-10,1.726,0.263,2445,62
6,2018-10-11,1.895,0.372,2586,76
6,2018-10-12,3.018,0.232,4210,102
6,2018-10-13,1.865,0.23,2533,67
6,2018-10-14,4.241,0.531,5808,149
6,2018-10-15,2.234,0.274,3175,86
6,2018-10-16,2.8,0.279,3827,105
6,2018-10-17,1.723,0.182,2386,69
6,2018-10-18,1.562,0.205,2166,60
6,2018-10-19,5.547,0.334,7167,202
6,2018-10-20,3.283,0.638,4385,112
6,2018-10-21,2.549,0.162,3479,86
6,2018-10-22,1.576,0.168,2222,60
6,2018-10-23,1.507,0.213,2110,58
6,2018-10-24,1.131,0.154,1598,44
6,2018-10-25,2.304,0.287,3273,92
6,2018-10-26,2.309,0.423,3255,98
6,2018-10-27,0.825,0.077,1204,27
6,2018-10-28,2.15,0.204,3031,74
6,2018-10-29,2.933,0.251,3943,101
6,2018-10-30,3.166,0.257,4402,111
6,2018-10-31,1.753,0.216,2489,66
6,2018-11-01,1.973,0.19,2693,70
