id,date,deep_sleep_time,shallow_sleep_time,sleep_time,bed_time,wake_time
6,2017-10-26,0,0,0,0,0
6,2017-11-03,0,0,0,0,0
6,2018-01-18,0,0,0,0,0
6,2018-04-20,0,0,0,0,0
6,2018-06-02,0,0,0,0,0
6,2018-06-03,144,210,354,354,0
6,2018-06-04,162,150,312,312,0
6,2018-06-06,0,0,0,0,0
6,2018-06-07,118,201,319,319,0
6,2018-06-08,143,253,396,396,0
6,2018-06-09,82,190,272,306,34
6,2018-06-10,168,290,458,458,0
6,2018-06-11,159,275,434,434,0
6,2018-06-12,128,226,354,354,0
6,2018-06-13,132,324,456,456,0
6,2018-06-14,203,295,498,506,8
6,2018-06-15,85,293,378,378,0
6,2018-06-16,160,211,371,371,0
6,2018-06-17,119,263,382,382,0
6,2018-06-18,188,312,500,502,2
6,2018-06-19,33,127,160,160,0
6,2018-06-20,127,375,502,502,0
6,2018-06-21,145,248,393,393,0
6,2018-06-22,194,273,467,467,0
6,2018-06-23,110,224,334,334,0
6,2018-06-24,146,332,478,478,0
6,2018-06-25,163,346,509,509,0
6,2018-06-26,169,277,446,446,0
6,2018-06-27,130,222,352,352,0
6,2018-06-28,182,431,613,613,0
6,2018-06-29,140,273,413,413,0
6,2018-06-30,224,339,563,585,22
6,2018-07-01,192,291,483,483,0
6,2018-07-02,138,397,535,535,0
6,2018-07-03,148,290,438,438,0
6,2018-07-04,129,255,384,384,0
6,2018-07-05,196,200,396,396,0
6,2018-07-06,119,309,428,428,0
6,2018-07-07,127,283,410,410,0
6,2018-07-08,218,297,515,515,0
6,2018-07-09,0,0,0,0,0
6,2018-07-10,117,262,379,379,0
6,2018-07-11,104,253,357,357,0
6,2018-07-12,167,194,361,361,0
6,2018-07-13,208,266,474,474,0
6,2018-07-14,152,215,367,367,0
6,2018-07-15,182,261,443,443,0
6,2018-07-16,54,211,265,267,2
6,2018-07-17,165,304,469,469,0
6,2018-07-18,67,243,310,310,0
6,2018-07-19,206,337,543,543,0
6,2018-07-20,114,401,515,586,71
6,2018-07-21,149,381,530,530,0
6,2018-07-22,143,340,483,483,0
6,2018-07-23,88,297,385,385,0
6,2018-07-24,158,391,549,549,0
6,2018-07-25,145,297,442,468,26
6,2018-07-26,215,319,534,549,15
6,2018-07-27,231,287,518,518,0
6,2018-07-28,161,291,452,452,0
