id,date,steps,distance,calories,very_active_distance
4,2016-04-27,4948,3.242,281,0.046
4,2016-04-28,16573,12.06,751,0.079
4,2016-04-29,18002,12.916,737,0.029
4,2016-04-30,4126,2.981,207,0.011
4,2016-05-01,3869,2.651,244,0
4,2016-05-02,10004,7.33,426,0
4,2016-05-03,14565,11.022,616,0.055
4,2016-05-04,6295,4.341,315,0
4,2016-05-05,12424,10.207,587,2.968
4,2016-05-06,7964,5.736,345,0.209
4,2016-05-07,9518,7.071,456,0
4,2016-05-08,4088,3.119,197,0
4,2016-05-09,1958,1.266,134,0
4,2016-05-10,4534,2.974,270,0.048
4,2016-05-11,2569,1.661,198,0
4,2016-05-12,10398,7.728,500,0.064
4,2016-05-13,4276,2.809,251,0
4,2016-05-14,4591,3.314,264,0
4,2016-05-15,3164,2.094,190,0
4,2016-05-16,5880,4.415,253,0.046
4,2016-05-17,2499,1.615,135,0
4,2016-05-18,7824,5.584,387,0.065
4,2016-05-19,9053,6.697,431,0.018
4,2016-05-20,12367,8.56,614,0.11
4,2016-05-21,11307,8.25,454,0
4,2016-05-22,1531,0.99,119,0
4,2016-05-23,2585,1.671,165,0
4,2016-05-24,12141,8.997,529,0.106
4,2016-05-25,9159,6.433,455,0.399
4,2016-05-26,15682,11.175,667,0.133
4,2016-05-27,16859,11.675,698,0.698
4,2016-05-28,1480,0.957,108,0
4,2016-05-29,19521,13.842,805,0.043
4,2016-05-30,4950,3.603,214,0
4,2016-05-31,3575,2.313,239,0
4,2016-06-01,11677,8.641,535,0
4,2016-06-02,3755,2.918,187,0
4,2016-06-03,5117,3.402,245,0.049
4,2016-06-04,5896,3.947,311,0
4,2016-06-05,3294,2.129,205,0
4,2016-06-06,7644,5.372,366,0
4,2016-06-07,9196,6.306,434,0
4,2016-06-08,11668,8.231,482,0
4,2016-06-09,4698,3.037,290,0.019
4,2016-06-10,13407,9.34,631,0.058
4,2016-06-11,10886,7.569,491,0.137
4,2016-06-12,3912,2.529,248,0.022
4,2016-06-13,9188,6.839,381,0
4,2016-06-14,5231,3.502,280,0.107
4,2016-06-15,13878,10.191,603,0.082
4,2016-06-16,11051,7.398,483,0.011
4,2016-06-17,8004,5.495,412,0.11
4,2016-06-18,30386,21.052,1104,0.567
4,2016-06-19,37375,26.057,1333,0.277
4,2016-06-20,26579,18.86,1015,0.24
4,2016-06-21,29694,21.19,1114,0.122
4,2016-06-22,23866,16.846,861,0.18
4,2016-06-23,30013,21.454,1051,0
4,2016-06-24,21101,14.76,889,0.053
4,2016-06-25,22026,15.974,855,2.31
4,2016-06-26,1895,1.225,133,0
