id,date,deep_sleep_time,shallow_sleep_time,wake_time,bed_time,sleep_time
4,2016-04-27,0,0,0,0,0
4,2016-04-28,158,262,2,422,420
4,2016-04-29,234,241,0,475,475
4,2016-04-30,239,318,0,557,557
4,2016-05-01,180,333,3,516,513
4,2016-05-02,52,83,0,135,135
4,2016-05-03,108,287,14,409,395
4,2016-05-04,159,237,2,398,396
4,2016-05-05,264,409,0,673,673
4,2016-05-06,0,0,0,0,0
4,2016-05-07,191,361,2,554,552
4,2016-05-08,182,334,6,522,516
4,2016-05-09,161,354,17,532,515
4,2016-05-10,162,206,0,368,368
4,2016-05-11,142,261,1,404,403
4,2016-05-12,136,266,1,403,402
4,2016-05-13,177,355,1,533,532
4,2016-05-14,133,318,1,452,451
4,2016-05-15,253,357,0,610,610
4,2016-05-16,186,353,1,540,539
4,2016-05-17,180,318,0,498,498
4,2016-05-18,106,221,0,327,327
4,2016-05-19,146,229,0,375,375
4,2016-05-20,214,215,1,430,429
4,2016-05-21,222,445,11,678,667
4,2016-05-22,176,320,1,497,496
4,2016-05-23,193,307,0,500,500
4,2016-05-24,105,233,1,339,338
4,2016-05-25,195,137,1,333,332
4,2016-05-26,0,0,0,0,0
4,2016-05-27,115,212,1,328,327
4,2016-05-28,217,263,1,481,480
4,2016-05-29,91,213,0,304,304
4,2016-05-30,225,372,1,598,597
4,2016-05-31,69,203,0,272,272
4,2016-06-01,107,196,1,304,303
4,2016-06-02,101,226,1,328,327
4,2016-06-03,0,0,0,0,0
4,2016-06-04,215,352,2,569,567
4,2016-06-05,192,421,0,613,613
4,2016-06-06,0,0,0,0,0
4,2016-06-07,132,257,3,392,389
4,2016-06-08,140,358,1,499,498
4,2016-06-09,147,310,0,457,457
4,2016-06-10,198,419,2,619,617
4,2016-06-11,175,290,0,465,465
4,2016-06-12,190,324,2,516,514
4,2016-06-13,156,368,4,528,524
4,2016-06-14,147,309,3,459,456
4,2016-06-15,143,189,0,332,332
4,2016-06-16,46,53,0,99,99
4,2016-06-17,142,241,0,383,383
4,2016-06-18,140,162,1,303,302
4,2016-06-19,211,267,0,478,478
4,2016-06-20,129,250,1,380,379
4,2016-06-21,152,391,1,544,543
4,2016-06-22,191,300,0,491,491
4,2016-06-23,0,0,0,0,0
4,2016-06-24,130,252,0,382,382
4,2016-06-25,91,321,0,412,412
4,2016-06-26,186,345,3,534,531
4,2016-06-27,121,246,5,372,367
4,2016-06-28,165,206,1,372,371
4,2016-06-29,182,256,4,442,438
4,2016-06-30,174,299,2,475,473
4,2016-07-01,152,100,2,254,252
