id,date,steps,distance,calories,very_active_distance
5,2018-09-29,8017,5.341,157,0.065
5,2018-09-30,4002,2.717,86,0.127
5,2018-10-01,2379,1.484,47,0.123
5,2018-10-02,0,0,0,0
5,2018-10-03,8051,5.501,165,0.182
5,2018-10-04,6504,4.443,136,0.195
5,2018-10-05,8310,5.527,167,0.25
5,2018-10-06,670,0.442,15,0.023
5,2018-10-07,53,0.033,1,0.002
5,2018-10-08,6957,4.756,139,0.163
5,2018-10-09,0,0,0,0
5,2018-10-10,7975,5.489,165,0.198
5,2018-10-11,8070,5.56,164,0.16
5,2018-10-12,4431,3.155,98,0.092
5,2018-10-13,12865,8.903,264,0.314
5,2018-10-14,0,0,0,0
5,2018-10-15,5055,3.415,98,0.11
5,2018-10-16,6968,4.67,136,0.293
5,2018-10-17,7387,5.019,148,0.26
5,2018-10-18,6078,4.168,121,0.088
5,2018-10-19,0,0,0,0
5,2018-10-20,0,0,0,0
5,2018-10-21,2005,1.255,42,0.075
5,2018-10-22,10291,7.13,209,0.129
5,2018-10-23,7450,5.008,145,0.113
5,2018-10-24,7000,4.757,140,0.147
5,2018-10-25,7256,5.01,153,0.199
5,2018-10-26,5561,3.701,109,0.075
5,2018-10-27,8258,5.825,178,0.27
5,2018-10-28,6831,4.696,140,0.139
5,2018-10-29,6403,4.416,132,0.137
5,2018-10-30,8430,5.631,158,0.096
5,2018-10-31,0,0,0,0
5,2018-11-01,5364,3.533,105,0.194
5,2018-11-02,7459,5.108,150,0.212
5,2018-11-03,0,0,0,0
5,2018-11-04,0,0,0,0
5,2018-11-05,6228,4.336,132,0.226
5,2018-11-06,0,0,0,0
5,2018-11-07,8546,5.832,168,0.132
5,2018-11-08,7679,5.272,154,0.187
5,2018-11-09,7178,5.035,151,0.157
5,2018-11-10,0,0,0,0
5,2018-11-11,0,0,0,0
5,2018-11-12,5769,4.061,119,0.148
5,2018-11-13,6409,4.483,136,0.127
5,2018-11-14,8423,5.771,175,0.2
5,2018-11-15,8454,5.86,169,0.102
5,2018-11-16,7365,5.117,150,0.152
5,2018-11-17,604,0.415,12,0.001
5,2018-11-18,0,0,0,0
5,2018-11-19,6477,4.554,134,0.155
5,2018-11-20,6596,4.6,138,0.158
5,2018-11-21,7782,5.278,153,0.144
5,2018-11-22,8083,5.652,166,0.06
5,2018-11-23,3231,2.201,67,0.082
5,2018-11-24,0,0,0,0
5,2018-11-25,21,0.013,1,0
5,2018-11-26,6646,4.574,133,0.109
5,2018-11-27,6760,4.608,137,0.169
5,2018-11-28,5871,4.108,122,0.174
5,2018-11-29,6508,4.596,139,0.273
5,2018-11-30,9462,6.359,191,0.303
5,2018-12-26,0,0,0,0
5,2018-12-27,0,0,0,0
5,2018-12-28,0,0,0,0
5,2018-12-29,0,0,0,0
5,2018-12-30,0,0,0,0
5,2018-12-31,0,0,0,0
5,2019-01-01,0,0,0,0
5,2019-01-02,0,0,0,0
5,2019-01-03,15,0.009,1,0
5,2019-01-04,0,0,0,0
5,2019-01-05,0,0,0,0
5,2019-01-06,6327,4.027,130,0.808
5,2019-01-07,6888,4.632,135,0.094
5,2019-01-08,7124,4.899,146,0.18
5,2019-01-09,7185,4.862,143,0.107
5,2019-01-10,6859,4.784,141,0.144
5,2019-01-11,12380,8.503,255,0.283
5,2019-01-12,3527,2.269,69,0.081
5,2019-01-13,0,0,0,0
5,2019-01-14,8578,5.798,173,0.18
5,2019-01-15,7691,5.223,154,0.219
5,2019-01-16,5938,4.126,122,0.193
5,2019-01-17,7558,5.148,154,0.182
5,2019-01-18,6670,4.551,137,0.171
5,2019-01-19,0,0,0,0
5,2019-01-20,0,0,0,0
5,2019-01-21,6605,4.563,138,0.11
5,2019-01-22,5981,4.164,128,0.162
5,2019-01-23,6479,4.494,136,0.174
5,2019-01-24,6110,4.27,129,0.182
5,2019-01-25,6663,4.545,138,0.284
5,2019-01-26,0,0,0,0
5,2019-01-27,6285,4.055,121,0.286
5,2019-01-28,7315,5.04,148,0.201
5,2019-01-29,5957,4.138,124,0.131
5,2019-01-30,6714,4.591,136,0.251
5,2019-01-31,7512,5.26,156,0.094
5,2019-02-01,0,0,0,0
5,2019-02-02,0,0,0,0
5,2019-02-03,2468,1.699,51,0.052
5,2019-02-04,6319,4.335,130,0.182
5,2019-02-05,7158,5.007,152,0.284
5,2019-02-06,6086,4.184,123,0.154
5,2019-02-07,7218,5.063,148,0.161
